iterations,fitness,time,fevals
0,22.0,0.000459588,431
10,29.0,0.000880417,761
20,31.0,0.00126101,1097
30,31.0,0.00157034,1429
40,31.0,0.001874188,1769
50,31.0,0.002234423,2101
60,32.0,0.00257895,2435
70,32.0,0.002912932,2774
80,32.0,0.00323438,3114
90,32.0,0.003546463,3449
100,33.0,0.003865599,3779
110,33.0,0.004173148,4111
120,34.0,0.004476321,4445
130,33.0,0.004778146,4777
140,33.0,0.00513076,5107
150,33.0,0.005459885,5448
160,33.0,0.005761779,5776
170,33.0,0.006065079,6109
180,33.0,0.006372543,6442
190,33.0,0.006684989,6778
200,33.0,0.007018897,7107
210,34.0,0.00738829,7439
220,34.0,0.00772295,7778
230,34.0,0.008044528,8107
240,35.0,0.008360059,8437
250,34.0,0.008717769,8781
260,33.0,0.009072009,9117
270,37.0,0.009427767,9444
280,36.0,0.009751012,9782
290,36.0,0.010235284,10117
300,37.0,0.010683219,10457
310,39.0,0.011061165,10785
320,39.0,0.011463887,11117
330,39.0,0.01178825,11453
340,41.0,0.012087084,11795
350,41.0,0.012406142,12137
360,40.0,0.012737264,12476
370,44.0,0.013048607,12819
380,44.0,0.013365537,13165
390,44.0,0.013676038,13500
400,43.0,0.01397594,13835
410,46.0,0.014295239,14172
420,46.0,0.014603856,14507
430,47.0,0.014917078,14856
440,47.0,0.015220295,15198
450,47.0,0.015561259,15544
460,49.0,0.015872956,15872
470,50.0,0.016210054,16210
480,50.0,0.016516653,16539
490,50.0,0.016822884,16872
500,50.0,0.017109986,17197
510,51.0,0.017412247,17536
520,50.0,0.017717453,17865
530,49.0,0.018021386,18197
540,51.0,0.018351152,18537
550,50.0,0.018710038,18867
560,51.0,0.019042731,19192
570,51.0,0.019370564,19535
580,55.0,0.019700105,19874
590,54.0,0.020025182,20220
600,52.0,0.020334887,20553
610,55.0,0.020647643,20892
620,56.0,0.02095838,21224
630,56.0,0.021292209,21565
640,58.0,0.021646081,21890
650,57.0,0.021953082,22221
660,58.0,0.022253928,22554
670,58.0,0.022549711,22883
680,56.0,0.022889465,23235
690,57.0,0.023209215,23574
700,55.0,0.023503011,23911
710,56.0,0.023801515,24243
720,56.0,0.024113604,24589
730,56.0,0.024411198,24931
740,57.0,0.024698166,25260
750,56.0,0.025017873,25596
760,57.0,0.025313015,25923
770,58.0,0.02561888,26265
780,57.0,0.025972759,26589
790,57.0,0.026286046,26936
800,57.0,0.026587821,27269
810,58.0,0.026886734,27603
820,58.0,0.027184306,27943
830,58.0,0.027484,28274
840,58.0,0.027778654,28606
850,57.0,0.028073124,28947
860,58.0,0.028379612,29281
870,60.0,0.028681739,29617
880,60.0,0.028998138,29951
890,60.0,0.029288358,30287
900,60.0,0.029583977,30625
910,60.0,0.029900279,30957
920,60.0,0.030208921,31303
930,60.0,0.030549672,31641
940,59.0,0.030845659,31983
950,60.0,0.031143347,32329
960,61.0,0.031460185,32674
970,61.0,0.031749736,33003
