iterations,fitness,time,fevals
0,32.0,0.076322321,1000
10,32.0,0.142282838,2100
20,37.0,0.196505609,3200
30,36.0,0.246746005,4300
40,35.0,0.299269408,5400
50,38.0,0.347488238,6500
60,34.0,0.394559735,7600
70,34.0,0.443895773,8700
80,34.0,0.492699464,9800
90,35.0,0.538620833,10900
100,34.0,0.584109002,12000
110,34.0,0.630228904,13100
120,34.0,0.674819799,14200
130,34.0,0.721061295,15300
140,39.0,0.768448586,16400
150,39.0,0.814539509,17500
160,54.0,0.860023648,18600
170,34.0,0.905837642,19700
180,39.0,0.950810146,20800
190,34.0,0.995678416,21900
200,34.0,1.041467185,23000
210,39.0,1.086089451,24100
220,38.0,1.132027836,25200
230,40.0,1.17877179,26300
240,38.0,1.225775044,27400
250,37.0,1.271766904,28500
260,38.0,1.317589905,29600
270,37.0,1.362296391,30700
280,37.0,1.407202412,31800
290,37.0,1.454771011,32900
300,39.0,1.500053505,34000
310,38.0,1.544678373,35100
320,37.0,1.588836949,36200
330,39.0,1.635131874,37300
340,37.0,1.681123076,38400
350,37.0,1.727516856,39500
360,37.0,1.772501182,40600
370,37.0,1.818371371,41700
380,37.0,1.863950082,42800
390,37.0,1.909107773,43900
400,37.0,1.953780269,45000
410,37.0,1.999184964,46100
420,37.0,2.044980473,47200
430,38.0,2.090793554,48300
440,38.0,2.136347138,49400
450,37.0,2.18041987,50500
460,37.0,2.227412952,51600
470,38.0,2.271484292,52700
480,37.0,2.316194142,53800
490,38.0,2.362421886,54900
500,37.0,2.410238132,56000
510,38.0,2.455409877,57100
520,37.0,2.502469195,58200
530,38.0,2.547198575,59300
540,37.0,2.593015015,60400
550,37.0,2.639720868,61500
560,37.0,2.685645939,62600
570,37.0,2.732407485,63700
580,37.0,2.777871535,64800
590,37.0,2.823686483,65900
600,37.0,2.868550614,67000
610,37.0,2.913087395,68100
620,38.0,2.958283346,69200
630,38.0,3.004985597,70300
640,37.0,3.04996023,71400
650,37.0,3.095196623,72500
660,38.0,3.140850569,73600
670,39.0,3.191183667,74700
680,38.0,3.236384787,75800
690,47.0,3.282319322,76900
700,37.0,3.328798474,78000
710,37.0,3.374593197,79100
720,37.0,3.421517148,80200
730,38.0,3.465523333,81300
740,38.0,3.51329588,82400
750,37.0,3.559448722,83500
760,38.0,3.604545004,84600
770,37.0,3.649270966,85700
780,37.0,3.696194471,86800
790,37.0,3.741870566,87900
800,37.0,3.786057992,89000
810,37.0,3.830852274,90100
820,38.0,3.878234684,91200
830,37.0,3.925115964,92300
840,37.0,3.970101179,93400
850,39.0,4.016512748,94500
860,38.0,4.062769531,95600
870,38.0,4.10934852,96700
880,37.0,4.157366858,97800
890,38.0,4.205079829,98900
900,37.0,4.249757613,100000
910,37.0,4.295521042,101100
920,37.0,4.341835379,102200
930,37.0,4.388267057,103300
940,37.0,4.433962614,104400
950,37.0,4.479187573,105500
960,37.0,4.524662586,106600
970,38.0,4.571469743,107700
980,38.0,4.616491441,108800
990,37.0,4.661596452,109900
1000,37.0,4.705748253,111000
1010,37.0,4.753843778,112100
1020,38.0,4.800997284,113200
1030,38.0,4.846611694,114300
1040,37.0,4.892761636,115400
1050,38.0,4.937703203,116500
1060,37.0,4.984515143,117600
1070,39.0,5.030987561,118700
1080,38.0,5.079097606,119800
1090,37.0,5.125141756,120900
1100,37.0,5.171143421,122000
1110,39.0,5.219305587,123100
1120,39.0,5.264711692,124200
1130,48.0,5.310627952,125300
1140,48.0,5.357010908,126400
1150,38.0,5.404647065,127500
1160,39.0,5.450993671,128600
1170,39.0,5.498651446,129700
1180,46.0,5.545045304,130800
1190,49.0,5.59314172,131900
1200,49.0,5.641386986,133000
1210,49.0,5.691390136,134100
1220,51.0,5.739729818,135200
1230,51.0,5.786476455,136300
1240,50.0,5.831741986,137400
1250,55.0,5.877401869,138500
1260,50.0,5.922615171,139600
1270,55.0,5.967590399,140700
1280,54.0,6.014681667,141800
1290,50.0,6.06031988,142900
1300,50.0,6.105002591,144000
1310,55.0,6.152314948,145100
1320,51.0,6.197676216,146200
1330,55.0,6.242742503,147300
1340,50.0,6.287956142,148400
1350,50.0,6.333216238,149500
1360,51.0,6.380701533,150600
1370,54.0,6.426395648,151700
1380,50.0,6.471209245,152800
1390,51.0,6.515806644,153900
1400,50.0,6.561318458,155000
1410,55.0,6.607620175,156100
1420,50.0,6.652498116,157200
1430,53.0,6.699642576,158300
1440,55.0,6.745319761,159400
1450,55.0,6.792156342,160500
1460,51.0,6.837263559,161600
1470,55.0,6.88409192,162700
1480,51.0,6.929969712,163800
1490,50.0,6.97561969,164900
1500,51.0,7.020451817,166000
1510,51.0,7.065707888,167100
1520,50.0,7.10991833,168200
1530,50.0,7.154775592,169300
1540,55.0,7.199262231,170400
1550,50.0,7.243472107,171500
1560,50.0,7.288029633,172600
1570,50.0,7.332887916,173700
1580,50.0,7.378504881,174800
1590,55.0,7.423772281,175900
1600,51.0,7.468000269,177000
1610,50.0,7.512518463,178100
1620,51.0,7.558658237,179200
1630,50.0,7.604337383,180300
1640,55.0,7.649611247,181400
1650,50.0,7.694399101,182500
1660,51.0,7.738888666,183600
1670,50.0,7.782389917,184700
1680,55.0,7.825855188,185800
1690,50.0,7.870641365,186900
1700,50.0,7.915820908,188000
1710,50.0,7.960435269,189100
1720,51.0,8.021374024,190200
1730,51.0,8.065564221,191300
1740,50.0,8.109908537,192400
1750,51.0,8.153545188,193500
1760,50.0,8.19895045,194600
1770,55.0,8.243831475,195700
1780,51.0,8.292509836,196800
1790,51.0,8.3380498,197900
1800,55.0,8.383833114,199000
1810,51.0,8.429329763,200100
1820,51.0,8.473956248,201200
1830,51.0,8.518421382,202300
1840,55.0,8.56616913,203400
1850,55.0,8.611048538,204500
1860,56.0,8.65582848,205600
1870,61.0,8.700210761,206700
1880,55.0,8.745659504,207800
1890,51.0,8.791639629,208900
1900,51.0,8.836314658,210000
1910,56.0,8.880035036,211100
1920,55.0,8.923766458,212200
1930,51.0,8.967885259,213300
1940,51.0,9.012599343,214400
1950,52.0,9.058192091,215500
1960,51.0,9.102013016,216600
1970,52.0,9.146877979,217700
1980,51.0,9.190861177,218800
1990,51.0,9.236260024,219900
2000,61.0,9.283863263,221000
2010,61.0,9.328258577,222100
2020,51.0,9.371837696,223200
2030,51.0,9.416154342,224300
2040,51.0,9.460235435,225400
2050,51.0,9.506219141,226500
2060,51.0,9.551718418,227600
2070,51.0,9.595446092,228700
2080,52.0,9.641171128,229800
2090,51.0,9.686115963,230900
2100,51.0,9.730373215,232000
2110,51.0,9.774430855,233100
2120,51.0,9.819202162,234200
2130,56.0,9.863873629,235300
2140,51.0,9.908042053,236400
2150,51.0,9.953564749,237500
2160,51.0,9.998313644,238600
2170,51.0,10.043381184,239700
2180,51.0,10.08646558,240800
2190,56.0,10.130806228,241900
2200,51.0,10.17513546,243000
2210,56.0,10.218162113,244100
2220,51.0,10.263344991,245200
2230,56.0,10.307535866,246300
2240,51.0,10.351569252,247400
2250,51.0,10.396072474,248500
2260,51.0,10.440784249,249600
2270,51.0,10.484255862,250700
2280,51.0,10.52933725,251800
2290,51.0,10.573372687,252900
2300,51.0,10.618994916,254000
2310,51.0,10.66305295,255100
2320,52.0,10.707578273,256200
2330,51.0,10.751307847,257300
2340,51.0,10.797053001,258400
2350,56.0,10.843226738,259500
2360,51.0,10.890303126,260600
2370,51.0,10.936993962,261700
2380,54.0,10.9820009,262800
2390,59.0,11.028943059,263900
2400,52.0,11.073941302,265000
2410,73.0,11.119171806,266100
2420,51.0,11.163672356,267200
2430,51.0,11.209824832,268300
2440,51.0,11.260357567,269400
2450,51.0,11.303946831,270500
2460,51.0,11.349462343,271600
2470,52.0,11.39380062,272700
2480,60.0,11.44029323,273800
2490,51.0,11.485355575,274900
2500,52.0,11.530349359,276000
2510,54.0,11.574884673,277100
2520,52.0,11.620968413,278200
2530,51.0,11.66527522,279300
2540,51.0,11.709000983,280400
2550,52.0,11.753167344,281500
2560,54.0,11.79764938,282600
2570,51.0,11.843000802,283700
2580,54.0,11.887734408,284800
2590,51.0,11.932078538,285900
2600,51.0,11.97729973,287000
2610,54.0,12.02286737,288100
2620,52.0,12.067985495,289200
2630,51.0,12.111501389,290300
2640,51.0,12.155325476,291400
2650,51.0,12.200731718,292500
2660,51.0,12.243694399,293600
2670,51.0,12.28727819,294700
2680,51.0,12.332807169,295800
2690,51.0,12.377930188,296900
2700,51.0,12.422023342,298000
2710,53.0,12.467354142,299100
2720,51.0,12.511654903,300200
2730,51.0,12.557997786,301300
2740,51.0,12.601772219,302400
2750,51.0,12.646042317,303500
2760,52.0,12.690288199,304600
2770,54.0,12.736280416,305700
2780,54.0,12.78076072,306800
2790,51.0,12.824414518,307900
2800,51.0,12.868104179,309000
2810,51.0,12.913793993,310100
2820,54.0,12.958935026,311200
2830,51.0,13.00260406,312300
2840,51.0,13.046910168,313400
2850,51.0,13.09324657,314500
2860,54.0,13.13828146,315600
2870,61.0,13.183992384,316700
2880,53.0,13.230794088,317800
2890,51.0,13.278718903,318900
2900,51.0,13.325712828,320000
2910,54.0,13.371684737,321100
2920,51.0,13.417021782,322200
2930,51.0,13.463117656,323300
2940,51.0,13.507844082,324400
2950,51.0,13.553255431,325500
2960,52.0,13.596534268,326600
2970,56.0,13.643829874,327700
2980,51.0,13.687824934,328800
2990,51.0,13.73174231,329900
3000,51.0,13.77668653,331000
3010,51.0,13.821053749,332100
3020,51.0,13.866717916,333200
3030,51.0,13.911131795,334300
3040,51.0,13.955539818,335400
3050,51.0,13.999665139,336500
3060,62.0,14.045284258,337600
3070,55.0,14.091636106,338700
3080,51.0,14.137039621,339800
3090,55.0,14.182730344,340900
3100,51.0,14.229244468,342000
3110,51.0,14.274358405,343100
3120,56.0,14.319149297,344200
3130,51.0,14.364768471,345300
3140,51.0,14.410622643,346400
3150,54.0,14.456492505,347500
3160,51.0,14.50168917,348600
3170,52.0,14.547429993,349700
3180,51.0,14.592452984,350800
3190,51.0,14.638146774,351900
3200,51.0,14.682245097,353000
3210,52.0,14.728578387,354100
3220,51.0,14.773494256,355200
3230,54.0,14.818253399,356300
3240,54.0,14.862324843,357400
3250,51.0,14.910178671,358500
3260,51.0,14.953875991,359600
3270,51.0,14.998272889,360700
3280,51.0,15.042049121,361800
3290,51.0,15.087326809,362900
3300,54.0,15.132957055,364000
3310,54.0,15.176638575,365100
3320,51.0,15.220879391,366200
3330,51.0,15.266330227,367300
3340,51.0,15.310090868,368400
3350,56.0,15.353931154,369500
3360,51.0,15.399887722,370600
3370,51.0,15.44550216,371700
3380,52.0,15.489801463,372800
3390,51.0,15.535896579,373900
3400,51.0,15.579239708,375000
3410,51.0,15.622975619,376100
3420,51.0,15.666894417,377200
3430,51.0,15.71198628,378300
3440,51.0,15.755820808,379400
3450,51.0,15.800092758,380500
3460,51.0,15.84646221,381600
3470,52.0,15.892576179,382700
3480,51.0,15.936678684,383800
3490,51.0,15.980236195,384900
3500,51.0,16.025678084,386000
3510,51.0,16.069926617,387100
3520,51.0,16.115303449,388200
3530,51.0,16.159517877,389300
3540,51.0,16.205500642,390400
3550,51.0,16.250036049,391500
3560,54.0,16.297277825,392600
3570,55.0,16.340998442,393700
3580,61.0,16.387373969,394800
3590,51.0,16.432246941,395900
3600,51.0,16.477192492,397000
3610,51.0,16.521957534,398100
3620,51.0,16.567827994,399200
3630,51.0,16.6128578,400300
3640,52.0,16.657748642,401400
3650,51.0,16.702346527,402500
3660,51.0,16.747307914,403600
3670,52.0,16.792900423,404700
3680,51.0,16.838523739,405800
3690,54.0,16.884985059,406900
3700,51.0,16.930629404,408000
3710,51.0,16.976054315,409100
3720,51.0,17.019872735,410200
3730,54.0,17.065090131,411300
3740,51.0,17.111011952,412400
3750,51.0,17.154662871,413500
3760,51.0,17.199001128,414600
3770,54.0,17.245614646,415700
3780,51.0,17.290060271,416800
3790,51.0,17.335405421,417900
3800,51.0,17.380472373,419000
3810,53.0,17.427248236,420100
3820,54.0,17.472679853,421200
3830,51.0,17.516595008,422300
3840,52.0,17.560064034,423400
3850,51.0,17.605661594,424500
3860,51.0,17.649834729,425600
3870,51.0,17.693284916,426700
3880,54.0,17.73846396,427800
3890,51.0,17.785102782,428900
3900,51.0,17.830054651,430000
3910,51.0,17.874287634,431100
3920,51.0,17.919137872,432200
3930,51.0,17.965185766,433300
3940,51.0,18.009437007,434400
3950,52.0,18.053414567,435500
3960,51.0,18.097781173,436600
3970,51.0,18.143932771,437700
3980,54.0,18.189162795,438800
3990,54.0,18.23390637,439900
4000,51.0,18.278589333,441000
4010,54.0,18.323616307,442100
4020,51.0,18.369716104,443200
4030,51.0,18.413629242,444300
4040,52.0,18.460300013,445400
4050,51.0,18.504853106,446500
4060,51.0,18.549231113,447600
4070,51.0,18.593985853,448700
4080,51.0,18.639557927,449800
4090,51.0,18.683282576,450900
4100,53.0,18.729410987,452000
4110,53.0,18.774985805,453100
4120,51.0,18.819354726,454200
