iterations,fitness,time,fevals
0,12.0,0.000463896,11
10,13.0,0.000896335,21
20,13.0,0.001303647,31
30,16.0,0.001707133,41
40,17.0,0.002216475,51
50,17.0,0.002651049,61
60,18.0,0.003044215,71
70,18.0,0.003442333,81
80,18.0,0.00387104,91
90,18.0,0.004290628,101
100,18.0,0.004709519,111
110,18.0,0.005110757,121
120,18.0,0.005560124,131
130,18.0,0.005998528,141
140,19.0,0.006398474,151
150,19.0,0.007099972,161
160,19.0,0.007345939,171
170,19.0,0.007592509,181
180,19.0,0.007896685,191
190,19.0,0.008014988,201
200,19.0,0.008161789,211
210,19.0,0.008309424,221
220,19.0,0.008428395,231
230,19.0,0.008510598,241
240,19.0,0.008601229,251
250,19.0,0.008691064,261
260,19.0,0.009049885,271
270,19.0,0.009145696,281
280,19.0,0.009220349,291
290,19.0,0.009284797,301
300,19.0,0.009344989,311
310,19.0,0.009415667,321
320,19.0,0.009486371,331
330,19.0,0.009554175,341
340,19.0,0.00965233,351
350,19.0,0.009750339,361
360,19.0,0.009887087,371
370,19.0,0.009992299,381
380,19.0,0.010072657,391
390,19.0,0.01014427,401
400,19.0,0.010279041,411
410,19.0,0.010347519,421
420,19.0,0.010397583,431
430,19.0,0.01046045,441
440,19.0,0.010575927,451
450,19.0,0.01064734,461
460,19.0,0.010706893,471
470,19.0,0.010806326,481
480,19.0,0.01086735,491
490,19.0,0.010935854,501
500,19.0,0.010993138,511
510,19.0,0.011043706,521
520,19.0,0.011084951,531
530,19.0,0.011140233,541
540,19.0,0.011168652,551
550,19.0,0.011199541,561
560,20.0,0.011235984,571
570,20.0,0.011273286,581
580,20.0,0.011300477,591
590,20.0,0.01138255,601
600,20.0,0.011418359,611
610,20.0,0.011481915,621
620,20.0,0.011521345,631
630,20.0,0.01156708,641
640,20.0,0.011598665,651
650,20.0,0.011630473,661
660,20.0,0.011687771,671
670,20.0,0.011716743,681
680,20.0,0.011796642,691
690,20.0,0.011832377,701
700,20.0,0.011876055,711
710,20.0,0.011911421,721
720,20.0,0.011946325,731
730,20.0,0.011979373,741
740,20.0,0.012020294,751
750,21.0,0.012083416,761
760,22.0,0.01213639,771
770,22.0,0.012160206,781
780,22.0,0.012189494,791
790,22.0,0.012209349,801
800,22.0,0.012233876,811
810,22.0,0.012265227,821
820,22.0,0.012293584,831
830,23.0,0.012325023,841
840,23.0,0.012352296,851
850,23.0,0.012383055,861
860,23.0,0.01241154,871
870,23.0,0.01245525,881
880,23.0,0.012478364,891
890,23.0,0.012515907,901
900,23.0,0.01254023,911
910,23.0,0.012564847,921
920,23.0,0.012592742,931
930,24.0,0.012620779,941
940,24.0,0.012647526,951
950,24.0,0.012672957,961
960,24.0,0.012698729,971
970,24.0,0.012731623,981
980,24.0,0.012760993,991
990,24.0,0.012789497,1001
1000,24.0,0.012815661,1011
1010,24.0,0.01284725,1021
1020,24.0,0.012879734,1031
1030,24.0,0.012905011,1041
1040,24.0,0.01293051,1051
1050,24.0,0.012953864,1061
1060,24.0,0.012976783,1071
1070,24.0,0.013001864,1081
1080,24.0,0.013025029,1091
1090,24.0,0.013053011,1101
1100,24.0,0.013079635,1111
1110,24.0,0.013103354,1121
1120,24.0,0.013129715,1131
1130,24.0,0.013161086,1141
1140,24.0,0.013196813,1151
1150,24.0,0.013240132,1161
1160,24.0,0.013282689,1171
1170,24.0,0.013324882,1181
1180,24.0,0.013380682,1191
1190,24.0,0.013414152,1201
1200,24.0,0.013451955,1211
1210,24.0,0.013489663,1221
1220,24.0,0.013518408,1231
1230,24.0,0.01354228,1241
1240,24.0,0.013576921,1251
1250,24.0,0.013604503,1261
1260,24.0,0.013627443,1271
1270,24.0,0.013654084,1281
1280,24.0,0.013677776,1291
1290,24.0,0.013716866,1301
1300,24.0,0.013743865,1311
1310,24.0,0.013784842,1321
1320,24.0,0.013823097,1331
1330,24.0,0.013860395,1341
1340,24.0,0.013882868,1351
1350,24.0,0.013917685,1361
1360,24.0,0.013942734,1371
1370,25.0,0.013966896,1381
1380,27.0,0.013986648,1391
1390,27.0,0.014005697,1401
1400,27.0,0.0140269,1411
1410,27.0,0.014048915,1421
1420,27.0,0.014069979,1431
1430,27.0,0.014093118,1441
1440,27.0,0.014113604,1451
1450,27.0,0.014134788,1461
1460,27.0,0.014161064,1471
1470,27.0,0.014192786,1481
1480,27.0,0.014218351,1491
1490,27.0,0.014244208,1501
1500,27.0,0.014266819,1511
1510,27.0,0.014293603,1521
1520,27.0,0.014321997,1531
1530,27.0,0.014347427,1541
1540,28.0,0.01437097,1551
1550,28.0,0.0143917,1561
1560,28.0,0.014411954,1571
1570,29.0,0.014436292,1581
1580,30.0,0.014480216,1591
1590,30.0,0.014507455,1601
1600,30.0,0.014529863,1611
1610,30.0,0.014550493,1621
1620,30.0,0.014575232,1631
1630,30.0,0.014596903,1641
1640,30.0,0.014623041,1651
1650,30.0,0.014647466,1661
1660,30.0,0.014668549,1671
1670,30.0,0.014692616,1681
1680,30.0,0.014718361,1691
1690,30.0,0.014738721,1701
1700,30.0,0.014761846,1711
1710,30.0,0.014791704,1721
1720,30.0,0.014811096,1731
1730,30.0,0.014830285,1741
1740,30.0,0.014852782,1751
1750,30.0,0.014875341,1761
1760,30.0,0.014907668,1771
1770,30.0,0.014930283,1781
1780,30.0,0.014954592,1791
1790,30.0,0.014988054,1801
1800,30.0,0.015016061,1811
1810,30.0,0.01505117,1821
1820,30.0,0.015072025,1831
1830,30.0,0.015111164,1841
1840,30.0,0.015132736,1851
1850,30.0,0.015152765,1861
1860,30.0,0.015173023,1871
1870,30.0,0.015192317,1881
1880,30.0,0.015222885,1891
1890,30.0,0.015253526,1901
1900,30.0,0.015272676,1911
1910,38.0,0.015287507,1921
1920,38.0,0.015299555,1931
1930,38.0,0.015311982,1941
1940,38.0,0.015338431,1951
1950,38.0,0.015361263,1961
1960,38.0,0.015376932,1971
1970,39.0,0.015405827,1981
1980,39.0,0.015418301,1991
1990,40.0,0.01543097,2001
2000,40.0,0.015449281,2011
2010,40.0,0.015463001,2021
2020,40.0,0.015474968,2031
2030,40.0,0.01548971,2041
2040,40.0,0.015516653,2051
2050,40.0,0.01554635,2061
2060,40.0,0.015567336,2071
2070,40.0,0.015590946,2081
2080,41.0,0.01560654,2091
2090,41.0,0.015621508,2101
2100,41.0,0.015636617,2111
2110,41.0,0.015648988,2121
2120,41.0,0.015672126,2131
2130,41.0,0.015687395,2141
2140,41.0,0.01570605,2151
2150,41.0,0.015720903,2161
2160,41.0,0.015737998,2171
2170,41.0,0.015762995,2181
2180,41.0,0.015777785,2191
2190,41.0,0.01579231,2201
2200,41.0,0.015809232,2211
2210,41.0,0.015825807,2221
