iterations,fitness,time,fevals
0,14.0,5.9699e-05,11
10,17.0,9.6384e-05,21
20,17.0,0.00011622,31
30,18.0,0.000134287,41
40,18.0,0.000151895,51
50,19.0,0.000189889,61
60,20.0,0.00022584,71
70,20.0,0.000253144,81
80,20.0,0.000275682,91
90,20.0,0.000296447,101
100,20.0,0.000317829,111
110,20.0,0.000341695,121
120,20.0,0.000369012,131
130,20.0,0.000392296,141
140,20.0,0.000409957,151
150,20.0,0.000430878,161
160,20.0,0.000454292,171
170,20.0,0.000475461,181
180,20.0,0.000499626,191
190,22.0,0.000519167,201
200,22.0,0.000541448,211
210,22.0,0.000565467,221
220,22.0,0.000589801,231
230,22.0,0.000614504,241
240,22.0,0.000634238,251
250,24.0,0.000672146,261
260,24.0,0.000695944,271
270,24.0,0.000761469,281
280,24.0,0.000786982,291
290,24.0,0.000816102,301
300,24.0,0.000840532,311
310,24.0,0.000867131,321
320,24.0,0.000895767,331
330,24.0,0.000919751000001,341
340,24.0,0.00094236,351
350,24.0,0.000968333000001,361
360,24.0,0.000994670000001,371
370,24.0,0.00104951,381
380,24.0,0.001080275,391
390,24.0,0.001122833,401
400,24.0,0.001154007,411
410,24.0,0.001190715,421
420,24.0,0.001236817,431
430,25.0,0.001269195,441
440,25.0,0.001304094,451
450,25.0,0.001335668,461
460,25.0,0.001363702,471
470,25.0,0.001398252,481
480,25.0,0.001433308,491
490,25.0,0.001465591,501
500,30.0,0.001498003,511
510,32.0,0.001533272,521
520,34.0,0.001563316,531
530,42.0,0.001593676,541
540,42.0,0.001628396,551
550,42.0,0.001661638,561
560,42.0,0.001694091,571
570,42.0,0.001726716,581
580,42.0,0.001758651,591
590,42.0,0.001788605,601
600,42.0,0.001822997,611
610,42.0,0.001857446,621
620,42.0,0.001890321,631
630,42.0,0.001932695,641
640,42.0,0.001965466,651
650,42.0,0.001996771,661
660,42.0,0.002029773,671
670,42.0,0.002063105,681
680,42.0,0.002093939,691
690,42.0,0.00212811,701
700,42.0,0.002172782,711
710,42.0,0.002204241,721
720,42.0,0.002236543,731
730,43.0,0.002267057,741
740,43.0,0.00229852,751
750,43.0,0.002328951,761
760,44.0,0.002360154,771
770,45.0,0.002390455,781
780,46.0,0.002421219,791
790,46.0,0.002449608,801
800,47.0,0.002477901,811
810,47.0,0.002512626,821
820,47.0,0.002547812,831
830,47.0,0.00257541,841
840,47.0,0.002606516,851
850,47.0,0.00263515,861
860,47.0,0.00266777,871
870,47.0,0.002696956,881
880,47.0,0.002727384,891
890,47.0,0.002758863,901
900,48.0,0.002868225,911
910,48.0,0.00289943,921
920,54.0,0.002928554,931
930,54.0,0.002960607,941
940,54.0,0.002993668,951
950,54.0,0.00302282,961
960,54.0,0.003053768,971
970,54.0,0.003084807,981
980,54.0,0.00311636,991
990,54.0,0.003144349,1001
1000,54.0,0.003172692,1011
1010,54.0,0.003197204,1021
1020,54.0,0.003225704,1031
1030,54.0,0.003256166,1041
1040,55.0,0.003290173,1051
1050,55.0,0.003324111,1061
1060,55.0,0.003359663,1071
1070,55.0,0.003394156,1081
1080,55.0,0.003424965,1091
1090,55.0,0.003474094,1101
1100,55.0,0.003504314,1111
1110,55.0,0.003531003,1121
1120,55.0,0.003562144,1131
1130,55.0,0.003589138,1141
1140,56.0,0.003619297,1151
1150,56.0,0.003645752,1161
1160,62.0,0.003672394,1171
1170,62.0,0.003711354,1181
1180,62.0,0.003744066,1191
1190,62.0,0.003773816,1201
1200,62.0,0.003799388,1211
1210,63.0,0.003834316,1221
1220,63.0,0.003861871,1231
1230,63.0,0.003907315,1241
1240,63.0,0.003949077,1251
1250,63.0,0.003978606,1261
1260,63.0,0.004007781,1271
1270,63.0,0.004037217,1281
1280,63.0,0.004065872,1291
1290,63.0,0.004095105,1301
1300,63.0,0.004119435,1311
1310,65.0,0.004142854,1321
1320,65.0,0.004171371,1331
1330,65.0,0.004199715,1341
1340,66.0,0.0042255,1351
1350,67.0,0.004253572,1361
1360,67.0,0.004281396,1371
1370,67.0,0.004309044,1381
1380,67.0,0.004345305,1391
1390,67.0,0.004368985,1401
1400,67.0,0.004391819,1411
1410,67.0,0.004424735,1421
1420,67.0,0.004448859,1431
1430,67.0,0.004477106,1441
1440,67.0,0.004512017,1451
1450,67.0,0.004537215,1461
1460,67.0,0.004572841,1471
1470,68.0,0.004604674,1481
1480,68.0,0.004634826,1491
1490,68.0,0.004662737,1501
1500,68.0,0.004696328,1511
1510,68.0,0.004725594,1521
1520,68.0,0.004755286,1531
1530,68.0,0.004783572,1541
1540,68.0,0.004809283,1551
1550,68.0,0.004839059,1561
1560,68.0,0.004870386,1571
1570,68.0,0.004896545,1581
1580,68.0,0.00492406,1591
1590,69.0,0.004947394,1601
1600,74.0,0.00497364,1611
1610,74.0,0.004999352,1621
1620,74.0,0.005025426,1631
1630,74.0,0.005050177,1641
1640,74.0,0.005072604,1651
1650,76.0,0.005096182,1661
1660,76.0,0.005119974,1671
1670,76.0,0.005149694,1681
1680,76.0,0.005172257,1691
1690,76.0,0.005198563,1701
1700,76.0,0.005224271,1711
1710,76.0,0.005259417,1721
1720,76.0,0.005286433,1731
1730,76.0,0.00531113,1741
1740,76.0,0.00533913,1751
1750,76.0,0.005362311,1761
1760,76.0,0.005389734,1771
1770,76.0,0.005412005,1781
1780,76.0,0.005437757,1791
1790,76.0,0.005460479,1801
1800,76.0,0.005489422,1811
1810,76.0,0.005517229,1821
1820,76.0,0.005545115,1831
1830,76.0,0.005571275,1841
