iterations,fitness,time,fevals
0,0.0220406949316,1.469332405,1000
10,0.0217836647223,2.938587439,2100
20,0.0212981601941,4.379309175,3200
30,0.0211679811311,5.84327611,4300
40,0.0214572339335,7.305595468,5400
50,0.0214955989217,8.754249538,6500
60,0.0217601044262,10.222611552,7600
70,0.0211763932437,11.885341239,8700
80,0.0223340899231,13.479217424,9800
90,0.0220440431019,14.955139888,10900
100,0.0208268379379,16.421662233,12000
110,0.0216865105359,17.895818656,13100
120,0.0238474455383,19.366103146,14200
130,0.0215095426795,20.894495062,15300
140,0.0218262599603,22.473439007,16400
150,0.020556059564,24.004221348,17500
160,0.0215057912238,25.467313692,18600
170,0.0216277247072,26.942295021,19700
180,0.0214543383727,28.575950438,20800
190,0.0210344742698,30.159479062,21900
200,0.0213353252069,31.710145624,23000
210,0.0210703045856,33.223656101,24100
220,0.0216637777107,34.770944594,25200
230,0.02242828218,36.258799985,26300
240,0.0204664915727,37.763614236,27400
250,0.0214196607656,39.254353708,28500
260,0.022436529237,40.754891288,29600
270,0.0217523433755,42.197269238,30700
280,0.0206230756381,43.636599616,31800
290,0.0212508728164,45.07399595,32900
300,0.0219352482606,46.515243497,34000
310,0.0217651425038,48.170491586,35100
320,0.0210468834566,49.68475207,36200
330,0.0217762244218,51.211870562,37300
340,0.0213821375027,52.802959971,38400
350,0.0208060463008,54.270888043,39500
360,0.0244808639086,55.780399073,40600
370,0.0211458301738,57.319161088,41700
380,0.0208644094065,58.886770258,42800
390,0.0218836654634,60.423134333,43900
400,0.0224232536406,62.084680999,45000
410,0.0212945056002,63.613624534,46100
420,0.0231552589067,65.121607129,47200
430,0.0207693819442,66.631627107,48300
440,0.0215602472955,68.206541887,49400
450,0.0210354664788,69.784495923,50500
460,0.0212866838202,71.299939874,51600
470,0.0210042915011,72.798486613,52700
480,0.0217894142125,74.286629206,53800
490,0.0214758313599,75.901133723,54900
500,0.0208068853883,77.469674763,56000
510,0.0217353026887,79.012374722,57100
520,0.0217039554283,80.547418572,58200
530,0.0209980361618,82.11289683,59300
540,0.0214276883984,83.605914095,60400
550,0.0217888076872,85.144513045,61500
560,0.0217068897523,86.829961114,62600
570,0.0220917288236,88.314713789,63700
580,0.021232488251,89.788910485,64800
590,0.0211031316066,91.227162646,65900
600,0.0216737478466,92.657353468,67000
610,0.0211984979403,94.089063955,68100
620,0.0221874657047,95.535682805,69200
630,0.0211679573635,96.961308177,70300
640,0.021274489088,98.395789543,71400
650,0.0211958531042,99.818059831,72500
660,0.0216113425904,101.244449634,73600
670,0.0212018853783,102.677141857,74700
