problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",80.0,4930,0.006815028000000001,4941.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",79.0,2770,14.449524531,305700.0
CONTPEAKS,SA,"['0.75']",99.0,4950,0.040576228,4961.0
CONTPEAKS,GA,"['100', '50', '30']",90.0,4770,0.220800451,301213.0
NN,SA,"['/NN', 'SA', '0.55']",0.236686390533,40,2.1337349480000003,0
NN,GA,"['/NN', 'GA', '50', '20', '20']",0.149961744453,0,1.4835231709999999,0
NN,Backprop,"['/NN', 'Backprop']",0.520113314448,220,36.936880736999996,0
NN,RHC,"['/NN', 'RHC']",0.352258064516,440,23.419967486999997,0
NQ,MIMIC,"['100', '50', '0.3']",98.0,0,0.0067440090000000005,1000.0
NQ,SA,"['0.95']",99.0,670,0.00450036,681.0
NQ,GA,"['100', '50', '10']",98.0,860,0.139347185,47729.0
NQ,RHC,"[]",98.0,20,0.000210541,31.0
TSP,SA,"['0.75']",0.0521808648327,2970,0.00762409400204,2981.0
TSP,GA,"['100', '30', '30']",0.110896946489,3000,0.484385627004,145409.0
TSP,MIMIC,"['100', '50', '0.5']",0.0237609265803,2850,418.30813582,314500.0
TSP,RHC,"[]",0.0561019074042,2950,0.008866354003200001,2961.0
