iterations,fitness,time,fevals
0,25.0,0.00354816799999,468
10,25.0,0.005210156,830
20,25.0,0.00699939899999,1201
30,26.0,0.00879875899999,1570
40,25.0,0.00989729,1935
50,30.0,0.011753711,2301
60,30.0,0.014053749,2671
70,31.0,0.015422949,3034
80,31.0,0.016705844,3397
90,31.0,0.018781567,3771
100,32.0,0.020037517,4145
110,31.0,0.023491215,4513
120,32.0,0.025131727,4879
130,31.0,0.027161769,5240
140,31.0,0.030094231,5605
150,32.0,0.031798041,5975
160,32.0,0.034848248,6339
170,32.0,0.0381432,6706
180,32.0,0.041816147,7075
190,33.0,0.044491199,7443
200,33.0,0.04889239,7807
210,33.0,0.050603666,8173
220,33.0,0.052324469,8536
230,33.0,0.054192755,8903
240,33.0,0.057662426,9276
250,34.0,0.060003159,9644
260,34.0,0.064790039,10009
270,35.0,0.06593386,10374
280,35.0,0.068663827,10747
290,34.0,0.070174405,11124
300,34.0,0.072753831,11489
310,34.0,0.075627878,11860
320,35.0,0.076946417,12234
330,35.0,0.079385024,12592
340,35.0,0.081760628,12958
350,35.0,0.085783401,13326
360,36.0,0.087892444,13695
370,36.0,0.09226496,14064
380,36.0,0.093863545,14426
390,36.0,0.09638653,14792
400,36.0,0.097667395,15154
410,36.0,0.103950066,15527
420,36.0,0.110395017,15895
430,36.0,0.111934156,16256
440,36.0,0.116137945,16623
450,36.0,0.120035933,16987
460,37.0,0.12239432,17353
470,37.0,0.125098179,17725
480,37.0,0.127868767,18099
490,37.0,0.129950021,18468
500,37.0,0.133118415,18832
510,36.0,0.134575251,19193
520,37.0,0.137738696,19556
530,37.0,0.143520703,19931
540,37.0,0.14580752,20294
550,37.0,0.147613344,20654
560,37.0,0.149316868,21021
570,37.0,0.151442856,21387
580,38.0,0.154039663,21755
590,38.0,0.155907916,22119
600,38.0,0.157936347,22478
610,39.0,0.160000141,22844
620,39.0,0.161717448,23205
630,38.0,0.163121426,23572
640,40.0,0.16446609,23942
650,40.0,0.165879268,24314
660,41.0,0.169733017,24679
670,42.0,0.171137316,25046
680,42.0,0.173071825,25419
690,43.0,0.174516057,25787
700,42.0,0.17575085,26141
710,42.0,0.177058207,26510
720,42.0,0.178781445,26876
730,44.0,0.180423936,27246
740,44.0,0.18228309,27610
750,44.0,0.18574933,27981
760,44.0,0.187623166,28344
770,44.0,0.190245216,28708
780,43.0,0.191612717,29078
790,43.0,0.193511437,29446
800,43.0,0.194639249,29814
810,42.0,0.195921884,30181
820,42.0,0.197811181,30545
830,42.0,0.199591682,30915
840,55.0,0.201105957,31279
850,56.0,0.202224516,31647
860,57.0,0.204170284,32014
870,58.0,0.205580911,32380
880,59.0,0.208937964,32750
890,58.0,0.210967592,33115
900,58.0,0.213236038,33489
910,58.0,0.215691057,33862
920,60.0,0.21900985,34224
930,59.0,0.221667281,34583
940,58.0,0.223109545,34954
950,59.0,0.224415322,35321
960,59.0,0.226609189,35692
970,59.0,0.229729967,36054
980,60.0,0.231570283,36421
990,60.0,0.233086303,36788
1000,61.0,0.234501733,37149
1010,60.0,0.236888943,37520
1020,60.0,0.259150106,37884
1030,60.0,0.260658328,38257
1040,59.0,0.271385969,38628
1050,60.0,0.278830058,38998
1060,62.0,0.28267415,39367
1070,62.0,0.288106436,39734
1080,61.0,0.296437054,40102
1090,61.0,0.297721607,40473
1100,61.0,0.29899502,40844
1110,61.0,0.303481488,41211
1120,61.0,0.304892618,41585
1130,61.0,0.306565602,41952
1140,61.0,0.307979248,42322
1150,61.0,0.311154217,42686
1160,61.0,0.314474858,43049
1170,61.0,0.321463637,43420
1180,61.0,0.323894733,43778
1190,60.0,0.325444259,44146
1200,60.0,0.327803663,44509
1210,60.0,0.333456885,44873
1220,61.0,0.335256783,45237
1230,61.0,0.337470493,45603
1240,60.0,0.339473151,45960
1250,62.0,0.34096237,46329
1260,62.0,0.344753547,46700
