iterations,fitness,time,fevals
0,20.0,0.16203469,1000
10,31.0,0.27867802,2100
20,36.0,0.386651048,3200
30,35.0,0.460667105,4300
40,34.0,0.521885549,5400
50,39.0,0.585075729,6500
60,35.0,0.658450066,7600
70,34.0,0.742819184,8700
80,34.0,0.807483881,9800
90,34.0,0.877752164,10900
100,39.0,0.954825856,12000
110,35.0,1.038375786,13100
120,35.0,1.108274197,14200
130,34.0,1.183349037,15300
140,34.0,1.246001189,16400
150,34.0,1.346951505,17500
160,36.0,1.463385672,18600
170,37.0,1.571338295,19700
180,40.0,1.670809956,20800
190,36.0,1.737342195,21900
200,36.0,1.821600593,23000
210,36.0,1.90729986,24100
220,36.0,1.978536195,25200
230,36.0,2.075507014,26300
240,36.0,2.142966764,27400
250,35.0,2.213833583,28500
260,37.0,2.28628877,29600
270,36.0,2.355724192,30700
280,36.0,2.428084317,31800
290,38.0,2.511365701,32900
300,39.0,2.583463078,34000
310,41.0,2.657175407,35100
320,42.0,2.733759528,36200
330,44.0,2.827446913,37300
340,44.0,2.91025438,38400
350,45.0,2.991040262,39500
360,46.0,3.092335195,40600
370,42.0,3.162366198,41700
380,46.0,3.223353271,42800
390,45.0,3.299123375,43900
400,46.0,3.370874154,45000
410,45.0,3.459277102,46100
420,48.0,3.53223101,47200
430,46.0,3.638929647,48300
440,44.0,3.727085463,49400
450,45.0,3.794740146,50500
460,47.0,3.862464719,51600
470,48.0,3.927561624,52700
480,47.0,3.996930767,53800
490,46.0,4.092491141,54900
500,46.0,4.15998655,56000
510,46.0,4.262339134,57100
520,47.0,4.331242084,58200
530,46.0,4.396479308,59300
540,46.0,4.469505056,60400
550,46.0,4.55855269,61500
560,44.0,4.648601907,62600
570,47.0,4.743475735,63700
580,47.0,4.833258017,64800
590,47.0,4.903408942,65900
600,45.0,4.966741291,67000
610,47.0,5.036168759,68100
620,47.0,5.118763115,69200
630,46.0,5.197740208,70300
640,46.0,5.287257533,71400
650,45.0,5.408289953,72500
660,47.0,5.472534867,73600
670,47.0,5.537820162,74700
680,52.0,5.598116591,75800
690,53.0,5.662104234,76900
700,53.0,5.729581252,78000
710,55.0,5.805738741,79100
720,54.0,5.87060051,80200
730,50.0,5.936469449,81300
740,51.0,6.014966553,82400
750,52.0,6.08190347,83500
760,50.0,6.146435237,84600
770,53.0,6.226433191,85700
780,53.0,6.294941029,86800
790,53.0,6.356265345,87900
800,53.0,6.426894786,89000
810,54.0,6.493220687,90100
820,58.0,6.562425371,91200
830,53.0,6.630640527,92300
840,53.0,6.69547482,93400
850,53.0,6.770900847,94500
860,54.0,6.851114743,95600
870,54.0,6.951749069,96700
880,53.0,7.056155581,97800
890,52.0,7.138502178,98900
900,54.0,7.214978999,100000
910,54.0,7.274321616,101100
920,61.0,7.341806118,102200
930,54.0,7.4116687,103300
940,54.0,7.483651049,104400
950,61.0,7.558236131,105500
960,55.0,7.621117192,106600
970,61.0,7.681483006,107700
980,59.0,7.747493441,108800
990,69.0,7.811863655,109900
1000,59.0,7.889163343,111000
1010,57.0,7.985865325,112100
1020,61.0,8.06151529,113200
1030,58.0,8.137282678,114300
1040,66.0,8.237425738,115400
1050,62.0,8.320981129,116500
1060,59.0,8.404724579,117600
1070,58.0,8.48116072,118700
1080,62.0,8.55367944,119800
1090,58.0,8.628504047,120900
1100,59.0,8.702541116,122000
1110,63.0,8.778763598,123100
1120,73.0,8.840436056,124200
1130,66.0,8.902311014,125300
1140,70.0,8.981293914,126400
1150,67.0,9.039893013,127500
1160,67.0,9.111285594,128600
1170,67.0,9.178331334,129700
1180,72.0,9.236539256,130800
1190,67.0,9.315688931,131900
1200,71.0,9.387511867,133000
1210,71.0,9.446989073,134100
1220,72.0,9.505490434,135200
1230,72.0,9.56951317,136300
1240,72.0,9.645102891,137400
1250,67.0,9.713083053,138500
1260,67.0,9.769540748,139600
1270,67.0,9.84298182,140700
1280,67.0,9.914125839,141800
1290,68.0,9.976666043,142900
1300,67.0,10.043918117,144000
1310,72.0,10.102815457,145100
1320,67.0,10.177657815,146200
1330,72.0,10.252411757,147300
1340,67.0,10.30839135,148400
1350,72.0,10.36268681,149500
1360,68.0,10.421332633,150600
1370,68.0,10.493675195,151700
1380,67.0,10.556706497,152800
1390,67.0,10.613344251,153900
1400,67.0,10.668432244,155000
1410,67.0,10.733195176,156100
1420,67.0,10.790238349,157200
1430,68.0,10.858358031,158300
1440,72.0,10.932594391,159400
1450,67.0,10.999745059,160500
1460,67.0,11.063940297,161600
1470,72.0,11.11932908,162700
1480,68.0,11.174864476,163800
1490,72.0,11.234725707,164900
