iterations,fitness,time,fevals
0,18.0,0.000900242,11
10,18.0,0.001328263,21
20,18.0,0.001666701,31
30,18.0,0.002182018,41
40,18.0,0.002584557,51
50,18.0,0.002996833,61
60,18.0,0.003415032,71
70,18.0,0.004878728,81
80,18.0,0.005305298,91
90,18.0,0.006262179,101
100,18.0,0.006632825,111
110,18.0,0.006921093,121
120,18.0,0.007242727,131
130,18.0,0.007550292,141
140,18.0,0.007731852,151
150,18.0,0.008863721,161
160,18.0,0.009177789,171
170,18.0,0.009890088,181
180,18.0,0.010132157,191
190,18.0,0.010275034,201
200,21.0,0.01036323,211
210,21.0,0.010448985,221
220,21.0,0.011171855,231
230,21.0,0.011349204,241
240,21.0,0.011542213,251
250,21.0,0.011765815,261
260,21.0,0.012053284,271
270,21.0,0.012281208,281
280,21.0,0.012450104,291
290,21.0,0.012588902,301
300,21.0,0.012773967,311
310,21.0,0.012914689,321
320,21.0,0.013170318,331
330,21.0,0.013334719,341
340,21.0,0.013609035,351
350,22.0,0.013760744,361
360,23.0,0.014325535,371
370,23.0,0.014562172,381
380,23.0,0.01471662,391
390,23.0,0.014844644,401
400,23.0,0.01492053,411
410,23.0,0.015073299,421
420,23.0,0.015201571,431
430,23.0,0.015408989,441
440,23.0,0.015590922,451
450,23.0,0.015759585,461
460,24.0,0.015893548,471
470,24.0,0.016235712,481
480,24.0,0.01640746,491
490,24.0,0.016579079,501
500,24.0,0.016805223,511
510,24.0,0.017008744,521
520,24.0,0.017224034,531
530,24.0,0.017444558,541
540,24.0,0.01758213,551
550,24.0,0.017672491,561
560,24.0,0.017771502,571
570,24.0,0.018177611,581
580,26.0,0.018420506,591
590,26.0,0.018563737,601
600,26.0,0.01874453,611
610,26.0,0.019005953,621
620,26.0,0.019237078,631
630,27.0,0.019482231,641
640,27.0,0.01960898,651
650,27.0,0.019776266,661
660,27.0,0.019869091,671
670,28.0,0.019994792,681
680,28.0,0.020138714,691
690,28.0,0.020291067,701
700,28.0,0.020440359,711
710,28.0,0.020598332,721
720,28.0,0.020749087,731
730,28.0,0.020962183,741
740,28.0,0.021124008,751
750,28.0,0.021425148,761
760,28.0,0.021605535,771
770,28.0,0.021706518,781
780,28.0,0.021901738,791
790,28.0,0.022027155,801
800,28.0,0.02233894,811
810,28.0,0.022555127,821
820,28.0,0.022798549,831
830,28.0,0.022914982,841
840,28.0,0.023040397,851
850,28.0,0.023246954,861
860,28.0,0.02337994,871
870,28.0,0.023756932,881
880,28.0,0.023859892,891
890,28.0,0.023930277,901
900,28.0,0.025236656,911
910,28.0,0.025362047,921
920,28.0,0.025514623,931
930,28.0,0.025593105,941
940,28.0,0.026312943,951
950,28.0,0.02641006,961
960,28.0,0.026555211,971
970,31.0,0.026684421,981
980,31.0,0.030679291,991
990,31.0,0.030754542,1001
1000,31.0,0.03081948,1011
1010,31.0,0.031050196,1021
1020,31.0,0.031140042,1031
1030,31.0,0.03149131,1041
1040,31.0,0.031615453,1051
1050,31.0,0.031745067,1061
1060,31.0,0.031828586,1071
1070,31.0,0.031903552,1081
1080,31.0,0.03196549,1091
1090,31.0,0.032016163,1101
1100,31.0,0.032115045,1111
1110,31.0,0.032281152,1121
1120,32.0,0.032417754,1131
1130,32.0,0.032476823,1141
1140,33.0,0.032607851,1151
1150,33.0,0.032667309,1161
1160,33.0,0.032794781,1171
1170,33.0,0.032927147,1181
1180,33.0,0.03301881,1191
1190,33.0,0.033127455,1201
1200,33.0,0.033195227,1211
1210,35.0,0.033255891,1221
1220,35.0,0.033340666,1231
1230,35.0,0.033422575,1241
1240,35.0,0.03349548,1251
1250,35.0,0.033550982,1261
1260,35.0,0.033603438,1271
1270,35.0,0.033672064,1281
1280,35.0,0.033734144,1291
1290,35.0,0.033830253,1301
1300,35.0,0.033935309,1311
1310,36.0,0.03406195,1321
1320,36.0,0.034199266,1331
1330,36.0,0.034314657,1341
1340,37.0,0.034423237,1351
1350,37.0,0.034472246,1361
1360,37.0,0.034515246,1371
1370,37.0,0.034554121,1381
1380,37.0,0.034593461,1391
1390,37.0,0.034641778,1401
1400,37.0,0.034704615,1411
1410,37.0,0.034755149,1421
1420,37.0,0.034893164,1431
1430,37.0,0.035007817,1441
1440,37.0,0.035068076,1451
1450,37.0,0.035188029,1461
1460,37.0,0.035313538,1471
1470,37.0,0.035429194,1481
1480,37.0,0.035539352,1491
1490,38.0,0.035639474,1501
1500,38.0,0.035697319,1511
1510,38.0,0.035755444,1521
1520,42.0,0.035819,1531
1530,43.0,0.03587329,1541
1540,43.0,0.035926515,1551
1550,43.0,0.036025124,1561
1560,43.0,0.036069291,1571
1570,45.0,0.036190383,1581
1580,46.0,0.036304449,1591
1590,47.0,0.036352054,1601
1600,47.0,0.036424116,1611
1610,47.0,0.03648174,1621
1620,48.0,0.03653634,1631
1630,48.0,0.036587866,1641
1640,50.0,0.036710515,1651
1650,50.0,0.036769904,1661
1660,50.0,0.036824457,1671
1670,50.0,0.036870674,1681
1680,50.0,0.036953068,1691
1690,50.0,0.037109995,1701
1700,50.0,0.037182303,1711
1710,50.0,0.037338676,1721
1720,53.0,0.037501067,1731
1730,53.0,0.03762059,1741
1740,55.0,0.037773146,1751
1750,55.0,0.037830667,1761
1760,55.0,0.037880584,1771
1770,55.0,0.037960288,1781
1780,55.0,0.03804351,1791
1790,55.0,0.038209554,1801
1800,55.0,0.038256135,1811
