iterations,fitness,time,fevals
0,16.0,0.000130351,11
10,16.0,0.000158738,21
20,13.0,0.000208528,31
30,16.0,0.000246881,41
40,16.0,0.000301665,51
50,17.0,0.000331431,61
60,18.0,0.000359754,71
70,18.0,0.000397848,81
80,19.0,0.000651717,91
90,19.0,0.000978579,101
100,20.0,0.001021202,111
110,20.0,0.001140362,121
120,20.0,0.00117379,131
130,20.0,0.001194558,141
140,22.0,0.001221199,151
150,22.0,0.001246426,161
160,22.0,0.001262744,171
170,22.0,0.001285427,181
180,22.0,0.001310274,191
190,22.0,0.001332975,201
200,22.0,0.001376837,211
210,22.0,0.001435591,221
220,22.0,0.001465973,231
230,22.0,0.001515402,241
240,22.0,0.001573283,251
250,23.0,0.001634295,261
260,23.0,0.001696092,271
270,23.0,0.001764155,281
280,23.0,0.001848081,291
290,23.0,0.001976098,301
300,23.0,0.00202315,311
310,23.0,0.002055784,321
320,23.0,0.002083325,331
330,23.0,0.00212699,341
340,23.0,0.00216068,351
350,23.0,0.002180518,361
360,23.0,0.002196972,371
370,23.0,0.002217585,381
380,24.0,0.002340776,391
390,24.0,0.002373252,401
400,25.0,0.002413637,411
410,25.0,0.002444127,421
420,25.0,0.002476316,431
430,25.0,0.002502989,441
440,25.0,0.002624157,451
450,25.0,0.00270596,461
460,25.0,0.002859234,471
470,25.0,0.002941864,481
480,25.0,0.00311693,491
490,25.0,0.006912741,501
500,25.0,0.006958484,511
510,25.0,0.006995795,521
520,25.0,0.007031107,531
530,25.0,0.007068008,541
540,25.0,0.007113918,551
550,25.0,0.007421022,561
560,25.0,0.007452796,571
570,25.0,0.007484467,581
580,25.0,0.0075228,591
590,27.0,0.007565946,601
600,27.0,0.008756559,611
610,27.0,0.008842239,621
620,27.0,0.00891123,631
630,27.0,0.008995219,641
640,27.0,0.009077978,651
650,27.0,0.009119731,661
660,28.0,0.009153977,671
670,28.0,0.009189779,681
680,28.0,0.009227091,691
690,28.0,0.00925825,701
700,28.0,0.009304041,711
710,28.0,0.009356412,721
720,28.0,0.009397786,731
730,28.0,0.009436858,741
740,28.0,0.009539947,751
750,28.0,0.009599789,761
760,28.0,0.009639681,771
770,28.0,0.009674023,781
780,28.0,0.009930619,791
790,28.0,0.010848107,801
800,28.0,0.011123219,811
810,28.0,0.011853232,821
820,28.0,0.012259454,831
830,29.0,0.012342065,841
840,29.0,0.012397267,851
850,29.0,0.012486366,861
860,29.0,0.012545415,871
870,30.0,0.012597783,881
880,31.0,0.012648352,891
890,31.0,0.012698979,901
900,31.0,0.012783977,911
910,31.0,0.012820843,921
920,31.0,0.012875,931
930,31.0,0.012954892,941
940,31.0,0.013273253,951
950,31.0,0.013367031,961
960,31.0,0.013451456,971
970,31.0,0.01353944,981
980,31.0,0.013580887,991
990,31.0,0.013612196,1001
1000,31.0,0.013635687,1011
1010,31.0,0.01365893,1021
1020,32.0,0.013691241,1031
