iterations,fitness,time,fevals
0,15.0,0.00241643,285
10,15.0,0.003768943,476
20,15.0,0.00565275,661
30,15.0,0.00712156799999,847
40,15.0,0.00831685299998,1033
50,15.0,0.010067061,1214
60,15.0,0.011884635,1400
70,15.0,0.013125012,1578
80,15.0,0.015232411,1761
90,15.0,0.017114754,1945
100,15.0,0.019558639,2125
110,15.0,0.021543613,2308
120,15.0,0.023420954,2495
130,15.0,0.024876015,2678
140,15.0,0.027162048,2867
150,15.0,0.02866191,3050
160,15.0,0.032862996,3238
170,15.0,0.034221981,3418
180,15.0,0.03588083,3602
190,15.0,0.039080396,3790
200,15.0,0.041162485,3974
210,15.0,0.043012582,4156
220,15.0,0.044557545,4341
230,15.0,0.046667919,4529
240,15.0,0.048758493,4718
250,15.0,0.051298123,4906
260,15.0,0.055222133,5090
270,15.0,0.0565949,5274
280,15.0,0.05869945,5453
290,15.0,0.060457623,5642
300,15.0,0.06187083,5827
310,15.0,0.064268005,6013
320,15.0,0.066028366,6197
330,15.0,0.06837789,6387
340,15.0,0.072073879,6575
350,15.0,0.073853516,6758
360,15.0,0.075560981,6947
370,15.0,0.078499139,7138
380,15.0,0.080606353,7323
390,15.0,0.083423408,7513
400,15.0,0.085278695,7707
410,15.0,0.087741488,7896
420,15.0,0.089422201,8082
430,15.0,0.090984544,8271
440,15.0,0.092790833,8460
450,15.0,0.094417149,8645
460,15.0,0.098906732,8836
470,15.0,0.100685791,9019
480,15.0,0.10221494,9205
490,15.0,0.103716004,9392
500,15.0,0.105510223,9576
510,15.0,0.107371916,9761
520,15.0,0.109397181,9944
530,15.0,0.111667478,10134
540,15.0,0.115438231,10316
550,15.0,0.116848113,10504
560,15.0,0.118300347,10690
570,15.0,0.119796432,10879
580,15.0,0.121175807,11061
590,15.0,0.122763084,11251
600,15.0,0.124067855,11433
610,15.0,0.126005029,11615
620,15.0,0.127307875,11800
630,15.0,0.129124821,11983
640,15.0,0.130757371,12171
650,15.0,0.132271674,12351
660,15.0,0.134159916,12541
670,15.0,0.136782734,12727
680,15.0,0.139132239,12917
690,15.0,0.141699635,13101
700,15.0,0.143142803,13284
710,15.0,0.144831306,13472
720,15.0,0.146303448,13658
730,15.0,0.148413991,13841
740,15.0,0.150838356,14027
750,15.0,0.152572439,14218
760,15.0,0.154501233,14400
770,15.0,0.155970111,14590
780,15.0,0.157864549,14776
790,15.0,0.159921148,14962
800,15.0,0.161997411,15150
810,15.0,0.164024223,15333
820,15.0,0.166216801,15520
830,15.0,0.168085416,15704
840,15.0,0.169417167,15894
850,15.0,0.171393176,16084
860,15.0,0.173254778,16269
870,15.0,0.175677642,16456
880,15.0,0.177592177,16642
890,15.0,0.179315064,16828
900,15.0,0.180854459,17012
910,15.0,0.18246875,17198
920,15.0,0.184608147,17388
930,15.0,0.187057505,17574
940,15.0,0.189393576,17761
950,15.0,0.191733552,17949
960,15.0,0.193762481,18131
970,15.0,0.197942243,18316
980,15.0,0.200945673,18507
990,15.0,0.203084847,18689
1000,15.0,0.205353854,18877
1010,15.0,0.206946383,19063
1020,15.0,0.208377671,19248
1030,15.0,0.212289457,19431
1040,15.0,0.213943691,19618
1050,15.0,0.216147066,19807
1060,15.0,0.2181725,19991
1070,15.0,0.220820755,20183
