iterations,fitness,time,fevals
0,14.0,0.00765308699999,1000
10,14.0,0.015261616,2100
20,14.0,0.021974371,3200
30,14.0,0.028907567,4300
40,14.0,0.03910295,5400
50,14.0,0.047173543,6500
60,14.0,0.05405774,7600
70,15.0,0.062329412,8700
80,14.0,0.069954478,9800
90,15.0,0.081272597,10900
100,14.0,0.088104327,12000
110,14.0,0.094819327,13100
120,14.0,0.102550717,14200
130,14.0,0.109964524,15300
140,14.0,0.122149607,16400
150,14.0,0.12912777,17500
160,14.0,0.136408503,18600
170,15.0,0.143756272,19700
180,15.0,0.154401953,20800
190,15.0,0.163885425,21900
200,14.0,0.171506037,23000
210,14.0,0.179633641,24100
220,14.0,0.186885369,25200
230,14.0,0.196036931,26300
240,14.0,0.207279263,27400
250,14.0,0.216550777,28500
260,14.0,0.224920309,29600
270,14.0,0.233005341,30700
280,14.0,0.242880079,31800
290,14.0,0.249946876,32900
300,15.0,0.255544785,34000
310,14.0,0.263089809,35100
320,15.0,0.269596217,36200
330,14.0,0.277236306,37300
340,14.0,0.286375007,38400
350,14.0,0.293300136,39500
360,14.0,0.30301873,40600
370,14.0,0.309002761,41700
380,14.0,0.31868701,42800
390,14.0,0.325341262,43900
400,14.0,0.335290423,45000
410,14.0,0.342074933,46100
420,14.0,0.355781851,47200
430,14.0,0.364260179,48300
440,14.0,0.373223458,49400
450,14.0,0.379738698,50500
460,15.0,0.388719284,51600
470,14.0,0.399095395,52700
480,14.0,0.405686948,53800
490,14.0,0.412115012,54900
500,15.0,0.419810151,56000
510,15.0,0.426690468,57100
520,15.0,0.438260136,58200
530,14.0,0.44480064,59300
540,14.0,0.45092577,60400
550,14.0,0.461980709,61500
560,14.0,0.468450409,62600
570,14.0,0.479150482,63700
580,14.0,0.486868958,64800
590,14.0,0.494730794,65900
600,14.0,0.500731035,67000
610,14.0,0.507320516,68100
620,14.0,0.517566435,69200
630,14.0,0.524464902,70300
640,15.0,0.530978635,71400
650,14.0,0.536762874,72500
660,14.0,0.54268691,73600
670,14.0,0.550211305,74700
680,14.0,0.55965635,75800
690,14.0,0.567575361,76900
700,14.0,0.574060347,78000
710,14.0,0.580749359,79100
720,14.0,0.587565354,80200
730,14.0,0.597300495,81300
740,14.0,0.605503707,82400
750,14.0,0.612133457,83500
760,15.0,0.618871405,84600
770,14.0,0.626331629,85700
780,14.0,0.633797046,86800
790,14.0,0.644234866,87900
800,15.0,0.651002357,89000
810,14.0,0.659404753,90100
820,14.0,0.665459509,91200
830,14.0,0.67141911,92300
840,14.0,0.684788717,93400
850,14.0,0.691258717,94500
860,14.0,0.702380665,95600
870,14.0,0.708346071,96700
880,14.0,0.717357233,97800
890,14.0,0.726565898,98900
900,14.0,0.733921214,100000
910,14.0,0.74444703,101100
920,14.0,0.751366012,102200
930,14.0,0.762661975,103300
940,14.0,0.772081086,104400
950,15.0,0.779210221,105500
960,14.0,0.788299836,106600
970,14.0,0.7958222,107700
980,14.0,0.809692618,108800
990,14.0,0.818464032,109900
1000,14.0,0.829268501,111000
1010,14.0,0.843174881,112100
1020,14.0,0.856239511,113200
1030,14.0,0.864997453,114300
1040,14.0,0.873375727,115400
1050,14.0,0.885134555,116500
1060,14.0,0.895778649,117600
1070,14.0,0.903702647,118700
1080,14.0,0.912310601,119800
1090,15.0,0.920532841,120900
