iterations,fitness,time,fevals
0,10.0,0.000107539,11
10,5.0,0.000180305000001,21
20,12.0,0.000382579,31
30,13.0,0.000473286,41
40,14.0,0.000598013999999,51
50,12.0,0.000698199999999,61
60,8.0,0.000821602999999,71
70,12.0,0.000870199999998,81
80,13.0,0.000913281999997,91
90,13.0,0.00105477,101
100,13.0,0.001112695,111
110,13.0,0.001223981,121
120,13.0,0.00136957,131
130,13.0,0.001448176,141
140,13.0,0.001534758,151
150,13.0,0.001649953,161
160,13.0,0.002064073,171
170,13.0,0.002149802,181
180,13.0,0.002222568,191
190,13.0,0.002284328,201
200,13.0,0.00236303,211
210,13.0,0.002473541,221
220,13.0,0.002558655,231
230,13.0,0.002626236,241
240,13.0,0.002711113,251
250,13.0,0.002803029,261
260,13.0,0.002874428,271
270,13.0,0.002942216,281
280,13.0,0.003036496,291
290,13.0,0.003121264,301
300,13.0,0.003210233,311
310,13.0,0.003476798,321
320,13.0,0.003562788,331
330,13.0,0.003649253,341
340,13.0,0.003726744,351
350,13.0,0.003789641,361
360,13.0,0.003866747,371
370,13.0,0.003934154,381
380,13.0,0.004006744,391
390,13.0,0.004075282,401
400,13.0,0.0041754,411
410,13.0,0.00427202,421
420,13.0,0.004398034,431
430,13.0,0.004506567,441
440,13.0,0.004604752,451
450,13.0,0.004675966,461
460,13.0,0.004747159,471
470,13.0,0.004802211,481
480,13.0,0.004862856,491
490,13.0,0.004917214,501
500,13.0,0.00497101,511
510,13.0,0.005028971,521
520,13.0,0.005079219,531
530,13.0,0.005141628,541
540,13.0,0.005196315,551
550,13.0,0.005248639,561
560,13.0,0.005813981,571
570,13.0,0.006313247,581
580,13.0,0.006352771,591
590,13.0,0.006417225,601
600,13.0,0.006491552,611
610,13.0,0.006589422,621
620,13.0,0.006696668,631
630,13.0,0.006776347,641
640,13.0,0.006834449,651
650,13.0,0.006882282,661
660,13.0,0.006963154,671
670,13.0,0.007047592,681
680,13.0,0.007137028,691
690,13.0,0.007210662,701
700,13.0,0.007256049,711
710,13.0,0.007321808,721
720,13.0,0.007384543,731
730,13.0,0.007545364,741
740,13.0,0.007613496,751
750,13.0,0.007746052,761
760,13.0,0.00778882,771
770,13.0,0.007826101,781
780,13.0,0.007860558,791
790,13.0,0.007910195,801
800,13.0,0.008002695,811
810,13.0,0.008092664,821
820,13.0,0.008173509,831
830,13.0,0.008343302,841
840,13.0,0.008418179,851
850,13.0,0.008470287,861
860,13.0,0.008538122,871
870,13.0,0.008573238,881
880,13.0,0.00861621,891
890,13.0,0.008651426,901
900,13.0,0.008756938,911
910,13.0,0.008794586,921
920,13.0,0.008831567,931
930,13.0,0.008866645,941
940,13.0,0.008900591,951
950,13.0,0.008963136,961
960,13.0,0.009025078,971
970,13.0,0.009079695,981
980,13.0,0.009156239,991
990,13.0,0.009226336,1001
1000,13.0,0.009279258,1011
1010,13.0,0.009693281,1021
1020,13.0,0.009773424,1031
1030,13.0,0.009848945,1041
1040,13.0,0.010576006,1051
1050,13.0,0.010667987,1061
1060,13.0,0.010981155,1071
1070,13.0,0.011077218,1081
1080,13.0,0.01118714,1091
1090,13.0,0.011295986,1101
1100,13.0,0.011409397,1111
1110,13.0,0.011481366,1121
1120,13.0,0.011569359,1131
1130,13.0,0.011652882,1141
1140,13.0,0.011720847,1151
1150,13.0,0.011768704,1161
1160,13.0,0.011814993,1171
1170,13.0,0.011857228,1181
1180,13.0,0.01194237,1191
1190,13.0,0.012014676,1201
1200,13.0,0.012080164,1211
1210,13.0,0.012142891,1221
1220,13.0,0.012309186,1231
1230,13.0,0.012419759,1241
1240,13.0,0.012466964,1251
1250,13.0,0.012502775,1261
1260,13.0,0.012537614,1271
1270,13.0,0.012603862,1281
1280,13.0,0.012728818,1291
1290,13.0,0.012841092,1301
1300,13.0,0.012943941,1311
1310,13.0,0.01303129,1321
1320,13.0,0.013215323,1331
1330,13.0,0.013318936,1341
1340,13.0,0.013414809,1351
1350,13.0,0.013536946,1361
1360,13.0,0.013734106,1371
1370,13.0,0.013807776,1381
1380,13.0,0.013880206,1391
1390,13.0,0.013956537,1401
1400,13.0,0.014051195,1411
1410,13.0,0.014117264,1421
1420,13.0,0.014193062,1431
1430,13.0,0.014652173,1441
1440,13.0,0.014692389,1451
1450,13.0,0.014737764,1461
1460,13.0,0.014773632,1471
1470,13.0,0.014887934,1481
1480,13.0,0.014975501,1491
1490,13.0,0.015215675,1501
1500,13.0,0.01531189,1511
1510,13.0,0.015490856,1521
1520,13.0,0.01558604,1531
1530,13.0,0.01565721,1541
1540,13.0,0.015722376,1551
1550,13.0,0.015784737,1561
1560,13.0,0.015902955,1571
1570,13.0,0.015972263,1581
1580,13.0,0.016044393,1591
1590,13.0,0.01611145,1601
1600,13.0,0.016177986,1611
1610,13.0,0.016231799,1621
1620,13.0,0.016295705,1631
1630,13.0,0.016406347,1641
1640,13.0,0.016478586,1651
1650,13.0,0.016551352,1661
1660,13.0,0.01659415,1671
1670,13.0,0.016702528,1681
1680,13.0,0.016778308,1691
1690,13.0,0.016835784,1701
1700,13.0,0.016904259,1711
1710,13.0,0.016961698,1721
1720,13.0,0.017004653,1731
1730,13.0,0.017154714,1741
1740,13.0,0.017217596,1751
1750,13.0,0.017292535,1761
1760,13.0,0.017369132,1771
1770,13.0,0.017416119,1781
1780,13.0,0.017457451,1791
1790,13.0,0.017497196,1801
1800,13.0,0.017589171,1811
1810,13.0,0.017669269,1821
1820,13.0,0.017767906,1831
1830,13.0,0.019274599,1841
1840,13.0,0.019344594,1851
1850,13.0,0.019420111,1861
1860,13.0,0.019500248,1871
1870,13.0,0.019595208,1881
1880,13.0,0.019635914,1891
1890,13.0,0.019730192,1901
1900,13.0,0.019816557,1911
1910,13.0,0.019878187,1921
1920,13.0,0.019931211,1931
1930,13.0,0.019998354,1941
1940,13.0,0.020060241,1951
1950,13.0,0.020118903,1961
1960,13.0,0.020176689,1971
1970,13.0,0.020235199,1981
1980,13.0,0.020294468,1991
1990,13.0,0.020353822,2001
2000,13.0,0.020413115,2011
2010,13.0,0.020477505,2021
2020,13.0,0.020535877,2031
2030,13.0,0.020627496,2041
2040,13.0,0.020712461,2051
2050,13.0,0.020776553,2061
2060,13.0,0.020833767,2071
2070,13.0,0.020896269,2081
2080,13.0,0.020953552,2091
2090,13.0,0.021107412,2101
2100,13.0,0.021259409,2111
2110,13.0,0.021311983,2121
2120,13.0,0.021352451,2131
2130,13.0,0.021533135,2141
2140,13.0,0.021655741,2151
2150,13.0,0.021721692,2161
2160,13.0,0.021762708,2171
2170,13.0,0.021797506,2181
2180,13.0,0.021840334,2191
2190,13.0,0.021964721,2201
2200,13.0,0.022038163,2211
2210,13.0,0.022096869,2221
2220,13.0,0.022147241,2231
2230,13.0,0.022228507,2241
2240,13.0,0.022313966,2251
2250,13.0,0.022389638,2261
2260,13.0,0.022434571,2271
2270,13.0,0.02250011,2281
2280,13.0,0.022564349,2291
2290,13.0,0.022683369,2301
2300,13.0,0.022798381,2311
2310,13.0,0.022864726,2321
2320,13.0,0.023002619,2331
2330,13.0,0.023060308,2341
2340,13.0,0.023169821,2351
2350,13.0,0.023211954,2361
2360,13.0,0.023255172,2371
2370,13.0,0.02329979,2381
2380,13.0,0.023376881,2391
2390,13.0,0.023458173,2401
2400,13.0,0.023532996,2411
2410,13.0,0.023579687,2421
2420,13.0,0.023624039,2431
2430,13.0,0.023681283,2441
2440,13.0,0.023756064,2451
2450,13.0,0.02387583,2461
2460,13.0,0.023971452,2471
2470,13.0,0.024055368,2481
2480,13.0,0.024121362,2491
2490,13.0,0.024184296,2501
2500,13.0,0.02424951,2511
2510,13.0,0.024313884,2521
2520,13.0,0.024380854,2531
2530,13.0,0.024440058,2541
2540,13.0,0.024500535,2551
2550,13.0,0.024569757,2561
2560,13.0,0.024650708,2571
2570,13.0,0.024745599,2581
2580,13.0,0.024960741,2591
2590,13.0,0.02503126,2601
2600,13.0,0.025087674,2611
2610,13.0,0.02514424,2621
2620,13.0,0.025293794,2631
2630,13.0,0.025486457,2641
2640,13.0,0.025549648,2651
2650,13.0,0.025624978,2661
2660,13.0,0.0256732,2671
2670,13.0,0.025772999,2681
2680,13.0,0.025828723,2691
2690,13.0,0.025924334,2701
2700,13.0,0.025966038,2711
2710,13.0,0.026077582,2721
2720,13.0,0.026121704,2731
2730,13.0,0.026180383,2741
2740,13.0,0.026220827,2751
2750,13.0,0.026271109,2761
2760,13.0,0.0263321,2771
2770,13.0,0.026462223,2781
2780,13.0,0.02652853,2791
2790,13.0,0.026641364,2801
2800,13.0,0.026721345,2811
2810,13.0,0.02799184,2821
2820,13.0,0.02805921,2831
2830,13.0,0.028144388,2841
2840,13.0,0.028222413,2851
2850,13.0,0.028388677,2861
2860,13.0,0.028442024,2871
2870,13.0,0.028502631,2881
2880,13.0,0.028566615,2891
2890,13.0,0.028659092,2901
2900,13.0,0.028737593,2911
2910,13.0,0.028849909,2921
2920,13.0,0.028909933,2931
2930,13.0,0.029007199,2941
2940,13.0,0.029106816,2951
2950,13.0,0.029184281,2961
2960,13.0,0.029281823,2971
2970,13.0,0.029372123,2981
2980,13.0,0.02946359,2991
2990,13.0,0.02954123,3001
3000,13.0,0.029620272,3011
