iterations,fitness,time,fevals
0,0.0244194466772,2.091500229,1000
10,0.0238377270182,3.59104064,2100
20,0.0235501344424,5.085198158,3200
30,0.0233811706043,6.572490702,4300
40,0.0223800440087,8.327863814,5400
50,0.0222631917629,10.264606935,6500
60,0.022598718718,11.95993275,7600
70,0.0228034199821,13.570289618,8700
80,0.0234897703915,15.194554543,9800
90,0.0234006627919,16.787324548,10900
100,0.0225378001418,18.37052879,12000
110,0.0222700538257,19.982684042,13100
120,0.0235932552039,21.630073728,14200
130,0.0229934011051,23.213421323,15300
140,0.0230816207528,24.837283516,16400
150,0.0239851402616,26.455293226,17500
160,0.0223967290223,28.138390608,18600
170,0.0223124128491,29.772611471,19700
180,0.0229158136986,31.422092403,20800
190,0.0237804931007,33.133477828,21900
200,0.0231819042328,34.860226475,23000
210,0.0233676924857,36.564170742,24100
220,0.023006646406,38.288402016,25200
230,0.0236150561616,39.99368591,26300
240,0.022649230292,41.689240149,27400
250,0.0231249594958,43.433513732,28500
260,0.0235938154668,45.211927159,29600
270,0.023266054817,46.947176463,30700
280,0.0225608431161,49.452136433,31800
290,0.0223982990129,52.315737519,32900
300,0.0235068234813,54.197531329,34000
310,0.0236905350646,56.134020888,35100
320,0.0223878705163,58.040701334,36200
330,0.0224934055391,60.236854593,37300
340,0.0222984085776,63.004917499,38400
350,0.0226413039478,64.95424038,39500
360,0.0236666760498,66.934358581,40600
370,0.0227161455002,72.673573581,41700
380,0.0225436272915,79.792332648,42800
390,0.0231995898511,85.388753588,43900
400,0.0230621653498,91.032276408,45000
410,0.0240194864945,93.300824251,46100
420,0.0229530805161,95.560931897,47200
430,0.0227086825445,97.599004248,48300
440,0.0220560512304,99.73068672,49400
450,0.0233107401811,101.77954092,50500
460,0.0230703550869,103.675294216,51600
470,0.0229068129211,105.621124217,52700
480,0.0225837235713,107.530385732,53800
490,0.0220901267934,109.432536015,54900
500,0.0237206720866,111.336012522,56000
510,0.0229074547886,113.172377664,57100
520,0.0226027578675,115.050612375,58200
530,0.0231599500065,116.942346001,59300
540,0.0227404661227,118.793576081,60400
550,0.022173529176,120.640645356,61500
560,0.0225949543491,122.573971769,62600
570,0.0226981435744,124.468523798,63700
580,0.0227226476113,126.474916953,64800
590,0.0230317981737,128.42492385,65900
600,0.0232351571379,130.312598295,67000
610,0.0224458519858,132.186164695,68100
620,0.0226609829636,134.146248245,69200
630,0.0227972751792,135.970582377,70300
640,0.0229127067242,137.738441778,71400
650,0.0225116259623,139.574371412,72500
660,0.0229072044403,141.434122234,73600
670,0.0225404433068,143.254107588,74700
680,0.0233497136062,145.068172627,75800
690,0.0229925009877,146.893892218,76900
700,0.0229027237755,148.701595942,78000
710,0.0230793496702,150.538770189,79100
720,0.0225788877469,152.329263982,80200
730,0.0223096192256,154.295208431,81300
740,0.0225231251359,156.070125572,82400
750,0.0231535215855,157.86438521,83500
760,0.0230190091702,159.675347745,84600
770,0.0225041023863,161.456345969,85700
780,0.023332811486,163.242819771,86800
790,0.0231681444668,165.101136068,87900
800,0.0232967412528,166.973639316,89000
810,0.0228001594669,169.01149639,90100
820,0.0238266490394,170.780394635,91200
830,0.0228054776425,172.579865126,92300
840,0.0225403372778,174.34431163,93400
850,0.0234242460521,176.157994682,94500
860,0.0223599855461,178.060975863,95600
870,0.022869690018,179.859815274,96700
880,0.0235470347875,181.648201438,97800
890,0.0226834455871,183.640033458,98900
900,0.0224836591754,185.755441106,100000
910,0.0233899082979,188.244217866,101100
920,0.0225154059141,190.562000262,102200
930,0.0223906097894,192.547247258,103300
940,0.023563007292,195.164122548,104400
950,0.0235731978633,197.565319135,105500
960,0.0235594069103,200.974738221,106600
970,0.023246777039,206.849454617,107700
980,0.0247307886192,209.707786209,108800
990,0.0227409637548,211.915723666,109900
1000,0.0228278544102,213.97100876,111000
1010,0.0256127417246,215.929724662,112100
1020,0.0232389419752,217.795099987,113200
1030,0.0231168728572,219.691045989,114300
1040,0.0234007927938,221.721201513,115400
1050,0.0236732439751,223.596154517,116500
1060,0.0240619192982,225.463730581,117600
1070,0.0232505722158,227.308480981,118700
1080,0.0230322734986,229.133907495,119800
1090,0.0234677539622,230.970883067,120900
1100,0.0229146093429,232.770761106,122000
1110,0.0228501494112,234.651017253,123100
1120,0.0225410958455,236.496074001,124200
1130,0.0227181319043,238.508095187,125300
1140,0.0224052210492,240.361263959,126400
1150,0.0227101992262,242.16168342,127500
1160,0.0230050365591,243.966143647,128600
1170,0.022235062985,245.804828156,129700
1180,0.0241850760611,247.546584005,130800
1190,0.0237250676365,249.341836338,131900
1200,0.0230588804188,251.122589512,133000
1210,0.0223814543105,252.902778537,134100
1220,0.0226625073515,254.757806155,135200
1230,0.0228968706034,256.549558638,136300
1240,0.0236104145755,258.351827507,137400
1250,0.0235253068963,260.136331241,138500
1260,0.023615469432,261.859789494,139600
1270,0.0248477538557,263.605739674,140700
