problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",56.0,2860,0.027896449,2871.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",79.0,2820,21.266633777,311200.0
CONTPEAKS,SA,"['0.15']",73.0,2770,0.038168612000000005,2781.0
CONTPEAKS,GA,"['100', '30', '30']",86.0,2960,1.047207172,143092.0
NN,SA,"['/NN', 'SA', '0.15']",0.43950617283999993,490,6.874068651,0
NN,GA,"['/NN', 'GA', '50', '20', '20']",0.425,150,87.98396039299999,0
NN,Backprop,"['/NN', 'Backprop']",0.683168316832,320,17.463751874,0
NN,RHC,"['/NN', 'RHC']",0.314285714286,500,5.684686659,0
NQ,MIMIC,"['100', '50', '0.7']",15.0,30,0.040559912999999996,4300.0
NQ,SA,"['0.95']",15.0,470,0.004125861,481.0
NQ,GA,"['100', '10', '10']",15.0,20,0.031525054,656.0
NQ,RHC,"[]",15.0,10,0.000207875,21.0
TSP,SA,"['0.55']",0.056744159818199996,2860,0.0107383129971,2871.0
TSP,GA,"['100', '50', '10']",0.113541438336,2460,1.341332896,135470.0
TSP,MIMIC,"['100', '50', '0.5']",0.0256127417246,1010,215.929724662,112100.0
TSP,RHC,"[]",0.0519226957994,2880,0.015110594006700001,2891.0
